ph,Solids,Turbidity,Hardness,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Potability
9.14,591,5.2,178.375319,6.736331,335.548739,415.492264,13.503522,64.944908,0
7.72,390,2.6,205.865649,7.030574,331.986744,437.313393,15.010587,62.384768,0
7.93,271,3.4,209.696208,7.613738,323.187758,439.142933,12.219401,62.391999,1
9.53,326,3.8,192.738551,7.07549,332.059144,447.801314,14.2522,58.234443,0
7.18,36,2.1,221.34451,7.509621,320.927979,409.330887,16.155406,72.690307,1
7.6,330,3.5,199.490947,8.08008,335.243047,423.620069,13.827048,61.309782,1
9.11,321,4.3,173.673605,7.574368,303.173615,443.184475,14.617302,71.528775,0
7.78,240,3.1,195.168003,7.594119,329.29708,374.271875,12.918927,68.938587,1
7.34,274,3.7,188.034897,7.31104,355.15642,404.518876,16.056291,72.832197,1
9.07,583,5.4,209.249892,6.759067,317.633381,455.54944,14.766168,66.213497,0
7.36,95,2.8,201.554597,8.574797,361.074475,391.193444,15.244297,68.675493,1
7.62,350,3.3,198.312007,7.342301,310.604626,430.157537,12.847847,73.045148,1
7.09,93,2.2,191.104742,6.542937,348.343886,430.409182,14.473226,68.825129,1
7.76,385,2.5,215.028924,6.263056,324.181395,432.580839,13.140332,61.827478,1
7.47,144,2.2,191.389016,6.978331,345.031392,484.662952,14.614375,64.114256,1
8.2,104,2.7,201.980672,7.745254,344.230634,465.596421,16.784273,74.772595,1
7.18,38,2.5,189.001718,7.225992,345.709341,428.842863,14.717434,71.394029,1
8.14,55,2.6,190.112113,7.171222,311.464795,455.58955,12.828855,68.895091,1
7.68,538,2.9,211.01041,7.473148,311.87109,438.148792,14.295445,74.440811,0
7.78,388,2.4,200.630473,6.563518,332.151745,429.290084,13.339311,70.019055,1
7.74,388,2.7,212.54428,6.902775,321.637361,469.012101,14.863958,62.238157,0
7.56,440,4.0,187.635251,7.199693,324.591562,447.915805,15.843721,69.800083,0
7.48,39,2.3,198.740401,7.524504,324.59893,453.391447,14.970007,66.844786,1
7.43,133,3.8,194.500976,7.479023,332.679669,411.855331,13.804242,69.331578,1
9.12,590,5.2,186.583541,6.732222,325.90229,425.503251,14.213268,66.610965,0
8.42,501,4.4,191.008746,7.436864,333.445751,454.555125,14.908283,66.228276,0
9.13,584,5.1,182.510503,7.223837,320.45286,451.278145,15.100224,64.210323,0
7.53,147,2.0,190.793996,6.447062,332.538568,465.916066,14.269078,63.586434,1
7.44,390,2.3,200.220653,7.242515,335.673268,376.724549,12.669897,67.208362,1
9.1,593,5.3,198.465575,6.564412,313.370643,417.119472,13.127324,68.279136,0
7.57,427,4.5,198.738595,7.067563,306.485232,448.869356,17.328258,63.25986,0
9.12,590,5.2,186.583541,6.732222,325.90229,425.503251,14.213268,66.610965,0
7.94,27,2.1,205.447408,7.57297,315.467494,486.388381,14.477992,66.210292,1
7.79,258,2.6,197.612609,6.680966,334.980538,396.085825,13.427881,70.474873,0
7.73,392,2.5,195.671249,7.10223,339.233959,431.499729,14.679406,66.771076,0
8.09,66,2.7,192.286394,7.107228,335.431748,440.709314,14.690264,75.385374,1
7.68,395,2.5,194.742153,7.482601,332.514268,418.855164,15.120569,66.380481,0
8.39,69,2.6,198.391509,6.978891,327.573277,493.271143,14.658276,71.011408,0
7.17,34,2.1,216.612631,7.69438,328.260812,405.890747,15.734736,71.946583,1
8.34,377,2.9,190.700795,6.787677,327.273568,407.017213,13.189917,67.037642,0
8.1,377,3.4,191.291431,7.287765,336.277746,395.896643,11.949791,59.794651,0
7.54,425,4.1,193.035531,7.479002,313.402784,457.930258,15.03703,64.316478,0
7.82,245,2.3,192.651784,6.982773,327.171158,438.521782,14.456422,64.964495,1
7.84,408,3.5,214.250243,8.134543,338.570632,378.629147,15.005621,58.617624,0
7.5,424,2.4,197.482762,7.655891,331.320319,400.295021,14.052715,68.060345,0
7.51,146,2.0,190.83758,6.436806,332.45087,465.38952,14.26615,63.640638,1
7.31,85,2.7,205.975401,7.971079,384.782234,409.374103,14.99127,69.936156,1
7.48,460,4.6,197.029413,7.273848,311.033712,424.562313,15.859851,62.394888,0
7.64,392,4.2,199.332361,7.242093,332.020862,439.716288,16.422583,62.892818,0
8.01,501,2.9,210.055381,6.879501,331.225609,417.242225,15.349176,68.309366,1
7.54,442,4.1,191.371684,7.096902,320.454913,441.04126,16.032226,73.48279,0
7.76,340,3.0,213.764039,7.097627,318.177244,473.363429,12.914893,66.291794,1
7.96,38,2.3,205.821624,7.703196,321.992918,473.35843,13.829293,70.82164,1
7.78,390,2.7,209.084382,7.008778,324.648409,452.327904,15.601303,62.22468,0
7.56,146,3.2,199.588005,7.729079,321.455685,430.789107,12.73771,65.33081,1
7.51,144,2.3,192.48349,7.111633,341.615919,451.056428,14.514162,66.507218,1
7.49,93,3.0,196.918145,8.046747,350.23528,394.935486,13.809978,68.014022,1
7.6,418,3.8,180.762942,6.586093,309.676846,437.015905,14.79356,61.873102,1
7.75,390,2.2,193.449651,6.790335,338.0275,405.645948,12.336951,70.048662,1
7.83,392,2.6,197.958646,7.080497,334.445581,439.398053,14.997947,66.101084,0
8.08,70,2.6,195.642975,6.833972,326.605743,476.273235,14.385084,75.009183,1
7.7,412,3.0,201.438647,7.006176,330.117029,387.056823,13.666358,67.065628,1
7.93,106,2.5,205.173265,6.947373,333.347496,452.284683,14.912114,70.220519,1
7.68,359,3.7,214.337633,7.422216,350.764807,444.335861,16.277515,63.025783,1
7.42,389,2.4,203.518403,7.036653,336.225622,388.598518,12.831036,66.456709,1
7.84,387,2.4,206.171798,6.239161,325.875864,445.930274,12.974577,68.32856,0
9.1,618,4.8,185.600438,6.538787,299.984475,411.759453,13.460719,73.856063,0
7.1,92,2.2,191.014717,6.538289,348.139216,429.708167,14.610943,68.647252,1
8.36,69,2.7,203.864754,7.301737,335.261904,474.45636,15.705034,73.559222,0
7.11,88,2.3,197.262124,7.00771,359.745678,422.540272,15.373101,62.690285,1
9.19,320,4.3,179.0473,7.271946,295.939234,436.871777,14.682904,70.563456,0
7.16,35,2.5,197.116997,7.667786,309.352901,436.559745,15.60444,71.260585,1
8.22,44,2.7,186.688232,6.871005,317.012187,428.48343,13.302337,70.677119,1
7.7,392,2.4,195.324635,7.37962,338.206492,413.139908,14.547182,68.504272,0
8.13,99,2.5,203.764839,7.118795,336.973352,466.497653,15.340554,71.499204,1
8.23,393,3.4,200.932029,7.008509,331.510639,406.647369,14.272234,75.195426,0
7.16,87,2.4,200.55453,6.701225,362.051881,394.962821,14.970818,63.931243,1
8.23,52,2.3,199.536703,7.667456,315.726819,486.235045,13.682751,71.022605,1
8.91,519,3.8,201.914942,6.864037,301.031666,449.695579,14.690496,71.470074,0
7.48,145,2.3,192.510001,7.118054,342.562223,450.524007,14.488033,66.736619,1
7.68,361,3.3,198.023012,7.130192,315.830151,431.399979,13.44964,69.935627,1
7.65,413,3.2,202.733906,6.9585,336.554416,391.594737,14.052061,62.154048,1
7.19,37,2.4,200.167054,7.402876,335.827896,428.571302,15.194241,72.865944,1
7.79,385,2.7,216.750143,6.550999,316.770685,455.465004,13.611678,60.311566,0
7.6,84,2.4,207.665836,6.704601,351.220508,448.796061,12.864454,72.131657,1
9.16,591,5.1,174.183279,6.72615,336.862698,413.572316,13.243681,64.542615,0
7.7,324,3.0,211.438004,7.201326,314.662025,466.825609,13.642565,67.029234,0
7.77,389,2.3,195.610707,6.657685,335.585254,412.477878,12.584805,69.36276,1
8.12,114,2.2,186.943377,6.780664,325.023739,481.606823,15.109861,64.909664,1
7.53,219,2.3,195.865646,6.862778,335.71713,453.321476,14.078478,67.484347,1
7.5,146,2.0,191.031815,6.429,332.592511,464.8608,14.245505,63.685383,1
7.71,389,2.4,201.777053,7.032357,337.073275,407.16797,13.027852,67.971513,0
7.48,142,2.2,191.503354,6.860904,339.317955,479.955213,14.689139,64.485291,1
8.36,65,2.7,196.954249,7.072896,331.199464,466.872196,14.661148,71.444359,0
7.52,206,2.8,196.441854,7.692985,342.44345,366.52747,14.190572,75.979423,1
7.15,23,2.2,212.867293,8.411323,315.719558,400.499173,15.240102,64.66849,1
7.71,390,2.6,205.808228,7.034865,332.181324,437.022296,14.994038,62.327821,0
8.63,554,3.7,220.774082,6.826976,304.859731,420.596375,14.301676,69.819601,0
7.19,37,2.6,188.219611,7.529879,332.451814,442.096125,14.031043,63.839817,1
7.46,82,3.0,193.003299,7.63304,356.033402,405.230139,14.235734,67.949669,1
7.58,455,3.3,192.209603,6.453104,319.419459,384.476278,13.346103,68.66066,1
9.12,586,5.2,191.988258,6.95343,327.564397,456.360947,14.857706,65.439838,0
7.69,93,3.3,186.133679,6.808672,333.690059,386.235658,13.830552,70.641465,1
8.18,89,2.1,188.040135,6.750776,326.826078,490.202849,14.688739,66.726776,1
9.11,588,5.5,233.568299,7.125014,297.822721,446.190827,16.108619,69.976201,0
9.14,592,5.0,179.914398,6.69717,326.195761,398.713003,13.308377,67.179527,0
7.98,294,2.8,185.27819,6.883399,347.858264,394.314522,13.883933,73.679593,1
7.79,307,2.5,202.006959,6.598908,326.053806,385.722399,13.357882,67.648127,1
7.11,216,2.6,189.672644,6.827873,322.463517,390.651282,15.207338,71.64378,1
7.08,95,2.1,189.696504,6.568698,343.79874,427.645769,14.076207,67.873466,1
7.66,35,2.6,185.248676,7.785428,315.874974,450.437766,13.458781,65.190359,1
8.36,65,2.6,195.480417,7.188134,316.162127,490.497583,14.28847,65.256108,0
8.04,435,3.0,201.949919,6.480347,332.514096,409.859335,14.24693,66.428638,1
7.49,452,4.5,193.644489,6.941738,297.378641,446.441592,17.027952,67.146079,0
7.64,414,4.9,207.865412,6.653449,325.551461,444.551244,15.461444,55.749234,0
7.58,427,4.4,190.951641,6.755854,313.803936,451.76253,16.96845,63.160252,0
7.54,247,2.0,191.20627,6.326036,325.569394,455.87961,13.346063,69.061276,1
7.66,392,3.9,202.679873,7.629537,318.663486,436.215474,14.132151,69.23723,0
7.53,169,2.0,188.819024,6.317162,328.103709,464.373869,13.613024,66.119683,1
7.56,156,2.9,194.468393,7.999623,339.10554,370.837683,13.71809,71.59502,1
7.52,143,2.2,190.29535,6.915784,339.25961,483.627417,14.768222,64.261029,1
9.23,312,4.7,205.542558,7.641416,338.784366,432.225955,14.834736,63.49836,0
7.2,37,2.5,193.205631,7.32623,339.049034,441.659077,14.86224,70.283477,1
7.1,88,2.3,192.949394,6.959146,365.402852,418.894518,15.366247,65.827956,1
7.87,23,2.5,181.189424,7.773731,330.921344,479.615061,13.664673,67.493009,1
9.26,311,4.7,206.129092,7.721913,338.86939,433.643023,14.706865,63.075548,0
8.04,656,4.1,186.279483,6.253264,274.119551,454.195997,13.363765,70.730481,0
7.79,387,2.2,199.212148,6.416229,325.565185,416.409284,12.01282,68.692429,1
7.85,81,2.5,204.452385,6.90409,341.453188,462.014812,13.675504,74.796368,1
7.96,88,2.8,205.012547,7.709652,346.958154,432.235079,15.561869,82.244208,1
7.13,90,2.1,192.48405,6.709822,346.540101,425.49271,14.563755,67.667742,1
8.35,63,2.7,197.67414,7.146456,319.88665,468.669195,14.417985,68.104375,0
7.14,32,2.2,210.57468,8.013787,323.838647,402.287146,15.538383,66.879139,1
7.52,414,2.9,202.076646,7.231446,324.386401,409.079299,13.798504,67.587003,1
7.14,89,2.1,193.039112,6.69361,344.707415,429.588761,15.046252,65.514705,1
8.36,65,2.6,195.480417,7.188134,316.162127,490.497583,14.28847,65.256108,0
7.77,388,2.4,200.602264,6.564944,332.393658,428.473125,13.303098,69.901,1
7.11,92,2.3,192.714107,6.987727,366.042243,420.317832,15.179025,66.06125,1
7.68,394,2.6,192.836263,7.073352,334.060003,415.202621,15.149766,64.046132,0
7.49,146,2.0,191.227523,6.420882,332.72565,464.320637,14.224686,63.731567,1
